FIPS State Code,FIPS County Code,County Name,State,CBSA Number,"One-Unit
Limit","Two-Unit
Limit","Three-Unit
Limit","Four-Unit
Limit"
01,001,AUTAUGA COUNTY,AL,33860,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,003,BALDWIN COUNTY,AL,19300,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,005,BARBOUR COUNTY,AL,21640,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,007,BIBB COUNTY,AL,13820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,009,BLOUNT COUNTY,AL,13820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,011,BULLOCK COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,013,BUTLER COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,015,CALHOUN COUNTY,AL,11500,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,017,CHAMBERS COUNTY,AL,29300,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,019,CHEROKEE COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,021,CHILTON COUNTY,AL,13820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,023,CHOCTAW COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,025,CLARKE COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,027,CLAY COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,029,CLEBURNE COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,031,COFFEE COUNTY,AL,21460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,033,COLBERT COUNTY,AL,22520,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,035,CONECUH COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,037,COOSA COUNTY,AL,45180,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,039,COVINGTON COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,041,CRENSHAW COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,043,CULLMAN COUNTY,AL,18980,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,045,DALE COUNTY,AL,37120,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,047,DALLAS COUNTY,AL,42820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,049,DEKALB COUNTY,AL,22840,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,051,ELMORE COUNTY,AL,33860,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,053,ESCAMBIA COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,055,ETOWAH COUNTY,AL,23460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,057,FAYETTE COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,059,FRANKLIN COUNTY,AL,40770,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,061,GENEVA COUNTY,AL,20020,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,063,GREENE COUNTY,AL,46220,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,065,HALE COUNTY,AL,46220,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,067,HENRY COUNTY,AL,20020,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,069,HOUSTON COUNTY,AL,20020,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,071,JACKSON COUNTY,AL,42460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,073,JEFFERSON COUNTY,AL,13820,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,075,LAMAR COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,077,LAUDERDALE COUNTY,AL,22520,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,079,LAWRENCE COUNTY,AL,19460,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,081,LEE COUNTY,AL,12220,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,083,LIMESTONE COUNTY,AL,26620,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,085,LOWNDES COUNTY,AL,33860,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,087,MACON COUNTY,AL,12220,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,089,MADISON COUNTY,AL,26620,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,091,MARENGO COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,093,MARION COUNTY,AL,99999,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,095,MARSHALL COUNTY,AL,10700,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
01,097,MOBILE COUNTY,AL,33660,"$832,750 ","$1,066,250 ","$1,288,800 ","$1,601,750 "
