                                                            ZZ203S       1249125159937519332002402625                                                      20260101           
                                                            203B S       0541287069305008377001041125                                                      20260101           
9999900000NON-METRO                                         203B S01710000541287069305008377001041125AK013ALASKA                    ALEUTIANS EAST         2026010102210002024
9999900000NON-METRO                                         203B H04960000585350074935009058001125700AK016ALASKA                    ALEUTIANS WEST         2025010105090002024
1126000000ANCHORAGE, AK                                     203B S04600000541287069305008377001041125AK020ALASKA                    ANCHORAGE MUNIC        2026010104600002025
9999900000NON-METRO                                         203B S01540000541287069305008377001041125AK050ALASKA                    BETHEL CENSUS A        2026010102080002015
9999900000NON-METRO                                         203B S03440000541287069305008377001041125AK060ALASKA                    BRISTOL BAY BOR        2026010103450002023
9999900000NON-METRO                                         203B S02290000541287069305008377001041125AK063ALASKA                    CHUGACH CENSUS         2026010103200002022
9999900000NON-METRO                                         203B S04490000541287069305008377001041125AK066ALASKA                    COPPER RIVER CE        2026010104490002025
9999900000NON-METRO                                         203B S03340000541287069305008377001041125AK068ALASKA                    DENALI BOROUGH         2026010103340002025
9999900000NON-METRO                                         203B S01940000541287069305008377001041125AK070ALASKA                    DILLINGHAM CENS        2026010102600002024
2182000000FAIRBANKS-COLLEGE, AK                             203B S03350000541287069305008377001041125AK090ALASKA                    FAIRBANKS NORTH        2026010103350002025
9999900000NON-METRO                                         203B S03340000541287069305008377001041125AK100ALASKA                    HAINES BOROUGH         2026010103340002025
9999900000NON-METRO                                         203B S03550000541287069305008377001041125AK105ALASKA                    HOONAH-ANGOON C        2026010104560002022
2794000000JUNEAU, AK                                        203B H05190000596850076405009236001147800AK110ALASKA                    JUNEAU CITY AND        2026010105190002025
9999900000NON-METRO                                         203B S03190000541287069305008377001041125AK122ALASKA                    KENAI PENINSULA        2026010103190002025
2854000000KETCHIKAN, AK                                     203B S04420000541287069305008377001041125AK130ALASKA                    KETCHIKAN GATEW        2026010104420002025
9999900000NON-METRO                                         203B H04550000541650069340008381501041650AK150ALASKA                    KODIAK ISLAND B        2025010104710002024
9999900000NON-METRO                                         203B S00860000541287069305008377001041125AK158ALASKA                    KUSILVAK CENSUS        2026010101610002013
9999900000NON-METRO                                         203B S01970000541287069305008377001041125AK164ALASKA                    LAKE AND PENINS        2026010102250002024
1126000000ANCHORAGE, AK                                     203B S04600000541287069305008377001041125AK170ALASKA                    MATANUSKA-SUSIT        2026010104600002025
9999900000NON-METRO                                         203B S04670000541287069305008377001041125AK180ALASKA                    NOME CENSUS ARE        2026010104670002025
9999900000NON-METRO                                         203B S03930000541287069305008377001041125AK185ALASKA                    NORTH SLOPE BOR        2026010103930002025
9999900000NON-METRO                                         203B S02080000541287069305008377001041125AK188ALASKA                    NORTHWEST ARCTI        2026010102280002024
9999900000NON-METRO                                         203B S03850000541287069305008377001041125AK195ALASKA                    PETERSBURG CENS        2026010103850002025
9999900000NON-METRO                                         203B S02830000541287069305008377001041125AK198ALASKA                    PRINCE OF WALES        2026010102970002024
9999900000NON-METRO                                         203B H04900000586500075080009075501127900AK220ALASKA                    SITKA CITY AND         2023010105100002022
9999900000NON-METRO                                         203B S04660000541287069305008377001041125AK230ALASKA                    SKAGWAY MUNICIP        2026010104660002025
