                                                            ZZGSES       1249125159937519332002402625                                                      20251128               
                                                            GSE  S       0832750106625012888001601750                                                      20260101
9999900000NON-METRO                                         GSE  S01710001249125159937519332002402625AK013ALASKA                    ALEUTIANS EAST         2026010102210002024
9999900000NON-METRO                                         GSE  S04960001249125159937519332002402625AK016ALASKA                    ALEUTIANS WEST         2026010105090002024
1126000000ANCHORAGE, AK                                     GSE  S04600001249125159937519332002402625AK020ALASKA                    ANCHORAGE              2026010104600002025
9999900000NON-METRO                                         GSE  S01540001249125159937519332002402625AK050ALASKA                    BETHEL CENSUS A        2026010102080002015
9999900000NON-METRO                                         GSE  S03440001249125159937519332002402625AK060ALASKA                    BRISTOL BAY BOR        2026010103450002023
9999900000NON-METRO                                         GSE  S02290001249125159937519332002402625AK063ALASKA                    CHUGACH CENSUS         2026010103200002022
9999900000NON-METRO                                         GSE  S04490001249125159937519332002402625AK066ALASKA                    COPPER RIVER CE        2026010104490002025
9999900000NON-METRO                                         GSE  S03340001249125159937519332002402625AK068ALASKA                    DENALI BOROUGH         2026010103340002025
9999900000NON-METRO                                         GSE  S01940001249125159937519332002402625AK070ALASKA                    DILLINGHAM CENS        2026010102600002024
2182000000FAIRBANKS-COLLEGE, AK                             GSE  S03350001249125159937519332002402625AK090ALASKA                    FAIRBANKS NORTH        2026010103350002025
9999900000NON-METRO                                         GSE  S03340001249125159937519332002402625AK100ALASKA                    HAINES BOROUGH         2026010103340002025
9999900000NON-METRO                                         GSE  S03550001249125159937519332002402625AK105ALASKA                    HOONAH-ANGOON C        2026010104560002022
2794000000JUNEAU, AK                                        GSE  S05190001249125159937519332002402625AK110ALASKA                    JUNEAU CITY AND        2026010105190002025
9999900000NON-METRO                                         GSE  S03190001249125159937519332002402625AK122ALASKA                    KENAI PENINSULA        2026010103190002025
2854000000KETCHIKAN, AK                                     GSE  S04420001249125159937519332002402625AK130ALASKA                    KETCHIKAN GATEW        2026010104420002025
9999900000NON-METRO                                         GSE  S04550001249125159937519332002402625AK150ALASKA                    KODIAK ISLAND B        2026010104710002024
9999900000NON-METRO                                         GSE  S00860001249125159937519332002402625AK158ALASKA                    KUSILVAK CENSUS        2026010101610002013
9999900000NON-METRO                                         GSE  S01970001249125159937519332002402625AK164ALASKA                    LAKE AND PENINS        2026010102250002024
1126000000ANCHORAGE, AK                                     GSE  S04600001249125159937519332002402625AK170ALASKA                    MATANUSKA-SUSIT        2026010104600002025
9999900000NON-METRO                                         GSE  S04670001249125159937519332002402625AK180ALASKA                    NOME CENSUS ARE        2026010104670002025
9999900000NON-METRO                                         GSE  S03930001249125159937519332002402625AK185ALASKA                    NORTH SLOPE BOR        2026010103930002025
9999900000NON-METRO                                         GSE  S02080001249125159937519332002402625AK188ALASKA                    NORTHWEST ARCTI        2026010102280002024
9999900000NON-METRO                                         GSE  S03850001249125159937519332002402625AK195ALASKA                    PETERSBURG CENS        2026010103850002025
9999900000NON-METRO                                         GSE  S02830001249125159937519332002402625AK198ALASKA                    PRINCE OF WALES        2026010102970002024
9999900000NON-METRO                                         GSE  S04900001249125159937519332002402625AK220ALASKA                    SITKA CITY AND         2026010105100002022
9999900000NON-METRO                                         GSE  S04660001249125159937519332002402625AK230ALASKA                    SKAGWAY                2026010104660002025
9999900000NON-METRO                                         GSE  S04130001249125159937519332002402625AK240ALASKA                    SOUTHEAST FAIRB        2026010104130002025
9999900000NON-METRO                                         GSE  S03380001249125159937519332002402625AK275ALASKA                    WRANGELL CITY A        2026010103500002024
9999900000NON-METRO                                         GSE  S02190001249125159937519332002402625AK282ALASKA                    YAKUTAT CITY AN        2026010103660002013
9999900000NON-METRO                                         GSE  S01120001249125159937519332002402625AK290ALASKA                    YUKON-KOYUKUK C        2026010101170002015
3386000000MONTGOMERY, AL                                    GSE  S02200000832750106625012888001601750AL001ALABAMA                   AUTAUGA                2026010102200002025
1930000000DAPHNE-FAIRHOPE-FOLEY, AL                         GSE  S03200000832750106625012888001601750AL003ALABAMA                   BALDWIN                2026010103200002025
2164000000EUFAULA, AL-GA                                    GSE  S01470000832750106625012888001601750AL005ALABAMA                   BARBOUR                2026010101470002025
1382000000BIRMINGHAM, AL                                    GSE  S03170000832750106625012888001601750AL007ALABAMA                   BIBB                   2026010103170002025
1382000000BIRMINGHAM, AL                                    GSE  S03170000832750106625012888001601750AL009ALABAMA                   BLOUNT                 2026010103170002025
9999900000NON-METRO                                         GSE  S01070000832750106625012888001601750AL011ALABAMA                   BULLOCK                2026010101430002024
9999900000NON-METRO                                         GSE  S01340000832750106625012888001601750AL013ALABAMA                   BUTLER                 2026010101350002022
